,Fighter1,Fighter2,Winner,WeightClass
0,Eddie Alvarez,Justin Gaethje,Eddie Alvarez,Lightweight
0,Tecia Torres,Michelle Waterson,Tecia Torres,Women's Strawweight
0,Paul Felder,Charles Oliveira,Paul Felder,Lightweight
0,Yancy Medeiros,Alex Oliveira,Yancy Medeiros,Welterweight
0,David Teymur,Drakkar Klose,David Teymur,Lightweight
0,Felice Herrig,Cortney Casey,Felice Herrig,Women's Strawweight
0,Amanda Cooper,Angela Magana,Amanda Cooper,Women's Strawweight
0,Abdul Razak Alhassan,Sabah Homasi,Abdul Razak Alhassan,Welterweight
0,Dominick Reyes,Jeremy Kimball,Dominick Reyes,Light Heavyweight
0,Justin Willis,Allen Crowder,Justin Willis,Heavyweight
0,Nicco Montano,Roxanne Modafferi,Nicco Montano,Women's Flyweight
0,Sean O'Malley,Terrion Ware,Sean O'Malley,Bantamweight
0,Lauren Murphy,Barb Honchak,Lauren Murphy,Women's Flyweight
0,Gerald Meerschaert,Eric Spicely,Gerald Meerschaert,Middleweight
0,draw,DeAnna Bennett,draw,0
0,Brett Johns,Joe Soto,Brett Johns,Bantamweight
0,Montana De La Rosa,Christina Marks,Montana De La Rosa,Women's Flyweight
0,Ryan Janes,Andrew Sanchez,Ryan Janes,Middleweight
0,Rachael Ostovich,Karine Gevorgyan,Rachael Ostovich,Women's Flyweight
0,Shana Dobson,Ariel Beck,Shana Dobson,Women's Flyweight
0,Gillian Robertson,Emily Whitmire,Gillian Robertson,Women's Flyweight
0,Kelvin Gastelum,Michael Bisping,Kelvin Gastelum,Middleweight
0,Li Jingliang,Zak Ottow,Li Jingliang,Welterweight
0,Wang Guan,Alex Caceres,Wang Guan,Featherweight
0,Alex Garcia,Muslim Salikhov,Alex Garcia,Welterweight
0,Zabit Magomedsharipov,Sheymon Moraes,Zabit Magomedsharipov,Featherweight
0,Song Kenan,Bobby Nash,Song Kenan,Welterweight
0,Yan Xiaonan,Kailin Curran,Yan Xiaonan,Women's Strawweight
0,Song Yadong,Bharat Kandare,Song Yadong,Featherweight
0,Shamil Abdurakhimov,Chase Sherman,Shamil Abdurakhimov,Heavyweight
0,Gina Mazany,Wu Yanan,Gina Mazany,Women's Bantamweight
0,Rolando Dy,Wuliji Buren,Rolando Dy,Featherweight
0,Cyril Asker,Hu Yaozong,Cyril Asker,Heavyweight
0,Fabricio Werdum,Marcin Tybura,Fabricio Werdum,Heavyweight
0,Jessica-Rose Clark,Bec Rawlings,Jessica-Rose Clark,Women's Flyweight
0,Belal Muhammad,Tim Means,Belal Muhammad,Welterweight
0,Jake Matthews,Bojan Velickovic,Jake Matthews,Welterweight
0,Elias Theodorou,Daniel Kelly,Elias Theodorou,Middleweight
0,Alexander Volkanovski,Shane Young,Alexander Volkanovski,Catch Weight
0,Ryan Benoit,Ashkan Mokhtarian,Ryan Benoit,Flyweight
0,Nik Lentz,Will Brooks,Nik Lentz,Lightweight
0,Tai Tuivasa,Rashad Coulter,Tai Tuivasa,Heavyweight
0,Frank Camacho,Damien Brown,Frank Camacho,Lightweight
0,Nadia Kassem,Alex Chambers,Nadia Kassem,Women's Strawweight
0,Eric Shelton,Jenel Lausa,Eric Shelton,Flyweight
0,Adam Wieczorek,Anthony Hamilton,Adam Wieczorek,Heavyweight
0,Dustin Poirier,Anthony Pettis,Dustin Poirier,Lightweight
0,Matt Brown,Diego Sanchez,Matt Brown,Welterweight
0,Andrei Arlovski,Junior Albini,Andrei Arlovski,Heavyweight
0,Cezar Ferreira,Nate Marquardt,Cezar Ferreira,Middleweight
0,Raphael Assuncao,Matthew Lopez,Raphael Assuncao,Bantamweight
0,Clay Guida,Joe Lauzon,Clay Guida,Lightweight
0,Marlon Moraes,John Dodson,Marlon Moraes,Bantamweight
0,Tatiana Suarez,Viviane Pereira,Tatiana Suarez,Women's Strawweight
0,Sage Northcutt,Michel Quinones,Sage Northcutt,Lightweight
0,Nina Ansaroff,Angela Hill,Nina Ansaroff,Women's Strawweight
0,Sean Strickland,Court McGee,Sean Strickland,Welterweight
0,Jake Collier,Marcel Fortuna,Jake Collier,Light Heavyweight
0,Karl Roberson,Darren Stewart,Karl Roberson,Middleweight
0,Georges St-Pierre,Michael Bisping,Georges St-Pierre,Middleweight
0,TJ Dillashaw,Cody Garbrandt,TJ Dillashaw,Bantamweight
0,Rose Namajunas,Joanna Jedrzejczyk,Rose Namajunas,Women's Strawweight
0,Stephen Thompson,Jorge Masvidal,Stephen Thompson,Welterweight
0,Paulo Costa,Johny Hendricks,Paulo Costa,Middleweight
0,James Vick,Joe Duffy,James Vick,Lightweight
0,Mark Godbeer,Walt Harris,Mark Godbeer,Heavyweight
0,Ovince Saint Preux,Corey Anderson,Ovince Saint Preux,Light Heavyweight
0,Randy Brown,Mickey Gall,Randy Brown,Welterweight
0,Curtis Blaydes,Aleksei Oleinik,Curtis Blaydes,Heavyweight
