,Fighter1,Fighter2,outcome,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
1276,Hector Urbina,Bartosz Fabinski,0,-1.2300000190734863,1.6700000762939453,-0.32999998331069946,-0.11000001430511475,-8.0,-0.7200000286102295,-0.6200000047683716,3.799999952316284
1277,Alejandro Perez,Scott Jorgensen,1,0.3400001525878906,-0.5299999713897705,-0.050000011920928955,0.0,-2.1499998569488525,-0.28999999165534973,0.04000002145767212,-0.5999999642372131
1278,Gabriel Benitez,Andre Fili,0,0.3299999237060547,-1.0400002002716064,0.04999998211860657,0.18000000715255737,-2.680000066757202,0.550000011920929,-0.11000001430511475,1.5
1279,Alvaro Herrera,Vernon Ramos,1,-2.4200000762939453,-5.099999904632568,0.16999998688697815,0.0,0.0,0.0,0.20000000298023224,1.2999999523162842
1280,Polo Reyes,Cesar Arzamendia,1,1.320000171661377,-0.6099996566772461,-0.06000000238418579,0.0899999737739563,-7.320000171661377,-0.75,0.4000000059604645,-2.4000000953674316
1281,Valmir Lazaro,Michel Prazeres,0,2.3899998664855957,1.760000228881836,-0.09000000357627869,0.009999990463256836,-2.820000171661377,0.030000001192092896,0.4899999797344208,-0.6000000238418579
1282,Ronda Rousey,Holly Holm,0,1.3500001430511475,1.3399999141693115,0.17999997735023499,-0.12999999523162842,5.700000286102295,0.3700000047683716,-0.2799999713897705,4.700000286102295
1283,Joanna Jedrzejczyk,Valerie Letourneau,1,2.119999885559082,-2.690000057220459,0.10999998450279236,0.09000003337860107,-0.5999999642372131,0.21000003814697266,0.13999998569488525,-0.30000001192092896
1284,Antonio Silva,Mark Hunt,0,-0.019999980926513672,0.2200000286102295,0.009999990463256836,-0.009999990463256836,0.2799999713897705,-0.2600000202655792,0.030000030994415283,0.6000000238418579
1285,Uriah Hall,Robert Whittaker,0,-1.380000114440918,-0.040000200271606445,0.1199999749660492,-0.09000003337860107,0.5600000023841858,-0.1899999976158142,-0.12999999523162842,0.30000001192092896
1286,Stefan Struve,Jared Rosholt,0,1.1700000762939453,2.510000228881836,0.0,-0.10999998450279236,-1.2300000190734863,0.09000000357627869,-0.0700000524520874,1.899999976158142
1287,Jake Matthews,Akbarh Arreola,1,0.7300000190734863,-1.8500001430511475,0.030000001192092896,0.0,1.4399999380111694,-0.5900000333786011,0.33000001311302185,0.4999999701976776
1288,Peter Sobotta,Kyle Noke,0,-1.059999942779541,0.8000001907348633,-0.11000001430511475,-0.050000011920928955,0.23000001907348633,-0.1900000274181366,0.10999995470046997,-0.19999998807907104
1289,Anthony Perosh,Gian Villante,0,-1.880000114440918,-1.5199999809265137,0.0,-0.020000040531158447,1.4500000476837158,-0.019999995827674866,-0.4899999797344208,1.100000023841858
1290,Danny Martinez,Richie Vaculik,1,-0.9600000381469727,-0.32000017166137695,-0.18000000715255737,0.06000000238418579,0.0,0.0,0.050000011920928955,-1.0
1291,Steve Montgomery,Daniel Kelly,0,1.2300000190734863,-0.5199999809265137,0.009999990463256836,-0.14000001549720764,-1.8600000143051147,-0.3400000035762787,-0.13999998569488525,-0.30000001192092896
1292,Steve Kennedy,Richard Walsh,0,-1.559999942779541,2.799999952316284,-0.11000001430511475,-0.12999999523162842,0.9600000381469727,-0.06999999284744263,-0.6600000262260437,-0.20000000298023224
1293,James Moontasri,Anton Zafir,1,-0.5999999046325684,1.5499999523162842,-0.1599999964237213,-0.1199999749660492,-6.110000133514404,-0.6000000238418579,0.7900000214576721,0.20000000298023224
1294,Ryan Benoit,Ben Nguyen,0,-1.4399998188018799,-0.09999990463256836,-0.04999998211860657,0.04999995231628418,-0.09000001847743988,-0.1300000101327896,-0.04000002145767212,-1.0999999046325684
1295,Dan Henderson,Vitor Belfort,0,0.8500000238418579,-0.12999987602233887,0.009999990463256836,0.009999990463256836,0.5,-0.08000004291534424,0.04000002145767212,-0.30000001192092896
1296,Patrick Cummins,Glover Teixeira,0,0.5500001907348633,-0.26999998092651367,0.06999999284744263,-0.019999980926513672,2.2299997806549072,-0.09000000357627869,-0.28999996185302734,-0.699999988079071
1297,Thomas Almeida,Anthony Birchak,1,1.679999828338623,2.390000104904175,0.09999999403953552,-0.020000040531158447,-0.6800000071525574,-0.1599999964237213,-0.07999998331069946,0.0
1298,Alex Oliveira,Piotr Hallmann,1,-1.0199999809265137,-1.1000001430511475,0.06999999284744263,-0.1199999749660492,0.9200000762939453,-0.06000000238418579,-0.12999999523162842,0.4999999701976776
1299,Rashid Magomedov,Gilbert Burns,1,1.6500000953674316,-0.5199999809265137,0.10000002384185791,-0.029999971389770508,-1.559999942779541,0.20999997854232788,0.5099999904632568,-0.699999988079071
1300,Fabio Maldonado,Corey Anderson,0,0.5799999237060547,2.0,0.10999998450279236,-0.06000000238418579,-4.860000133514404,0.019999980926513672,0.11000001430511475,0.6000000238418579
1301,Gleison Tibau,Abel Trujillo,0,-0.7000000476837158,0.20000004768371582,-0.09999999403953552,0.04000002145767212,1.8999998569488525,0.07999998331069946,0.5199999809265137,0.4000000059604645
1302,Johnny Case,Yan Cabral,1,1.9300000667572021,0.6800000667572021,-0.09000000357627869,-0.009999990463256836,-1.190000057220459,0.09999999403953552,0.3500000238418579,-1.2000000476837158
1303,Thiago Tavares,Clay Guida,1,-0.3299999237060547,-0.08000016212463379,0.08000001311302185,-0.029999971389770508,0.39999985694885254,0.04999998211860657,-0.06999999284744263,0.800000011920929
1304,Kevin Souza,Chas Skelly,0,2.700000047683716,-0.6699998378753662,0.050000011920928955,0.12999999523162842,-1.8200000524520874,-0.33000001311302185,0.13999998569488525,-2.5
